,crystal structure,supercell size,Defect,Charge state, PBE Relax Energy (eV),HSE Gamma Relax (eV),Total Force,Vasp HSE Frozen,Total Force,VASP HSE Relax ,diff,Total Force,Potential allignment correction,Scaled madelung correct
SnTe,rock salt,64 atoms,Te_Sn,-1,-233.89,-261.84,0.02,-281.22,3,-282.28,1.06,0.19,-0.05,0.02
SnTe,rock salt,64 atoms,Te_Sn,0,-239.74,-267.31,0.11,-286.79,2.9,-287.78,1,0.1,0,0
SnTe,rock salt,64 atoms,Te_Sn,1,-245.21,-272.74,0.02,-291.66,3.35,-293.08,1.42,0.11,0.03,0.02
SnTe,rock salt,64 atoms,Te_Sn,2,-250.49,-278.22,0.15,-296.77,4.75,-298.29,1.52,0.09,0.06,0.08
SnTe,rock salt,64 atoms,Sn_i,0,-242.14,,,,,,,,,
SnTe,rock salt,64 atoms,Sn_i,1,-247.89,,,,,,,,,
SnTe,rock salt,64 atoms,Sn_i,2,-253.46,,,,,,,,,
SnTe,rock salt,64 atoms,Sn_i,3,-259.15,,,,,,,,,
SnTe,rock salt,64 atoms,Sn_i,4,-264.48,,,,,,,,,
SnTe,rock salt,64 atoms,Te_i,-2,-229.91,,,,,,,,,
SnTe,rock salt,64 atoms,Te_i,-1,-235.80,,,,,,,,,
SnTe,rock salt,64 atoms,Te_i,0,-241.71,,,,,,,,,
SnTe,pnma,72 atoms,host,-,-269.45,,,,,,,,,
SnTe,pnma,72 atoms,VSn,0,-264.45,,,,,,,,,
SnTe,pnma,72 atoms,VSn,-1,-259.77,,,,,,,,,
SnTe,pnma,72 atoms,VSn,-2,-254.93,,,,,,,,,
SnTe,pnma,72 atoms,VTe,0,-264.70,,,,,,,,,
SnTe,pnma,72 atoms,VTe,1,-269.83,,,,,,,,,
SnTe,pnma,72 atoms,VTe,2,-274.97,,,,,,,,,
SnTe,pnma,72 atoms,Sn_Te,-2,-258.35,,,,,,,,,
SnTe,pnma,72 atoms,Sn_Te,-1,-263.49,,,,,,,,,
SnTe,pnma,72 atoms,Sn_Te,0,-268.58,,,,,,,,,
SnTe,pnma,72 atoms,Sn_Te,1,-273.50,,,,,,,,,
SnTe,pnma,72 atoms,Sn_Te,2,-278.39,,,,,,,,,
SnTe,pnma,72 atoms,Te_Sn,-2,-256.72,,,,,,,,,
SnTe,pnma,72 atoms,Te_Sn,-1,-261.97,,,,,,,,,
SnTe,pnma,72 atoms,Te_Sn,0,-267.22,,,,,,,,,
SnTe,pnma,72 atoms,Te_Sn,1,-272.54,,,,,,,,,
SnTe,pnma,72 atoms,Te_Sn,2,-277.64,,,,,,,,,
